resnet_2b.onnx,prop_4_0.00239216.vnnlib,120
resnet_2b.onnx,prop_5_0.00239216.vnnlib,120
resnet_2b.onnx,prop_6_0.00239216.vnnlib,120
resnet_2b.onnx,prop_7_0.00239216.vnnlib,120
resnet_2b.onnx,prop_8_0.00239216.vnnlib,120
resnet_2b.onnx,prop_9_0.00239216.vnnlib,120
resnet_2b.onnx,prop_0_0.00317647.vnnlib,120
resnet_2b.onnx,prop_1_0.00317647.vnnlib,120
resnet_2b.onnx,prop_2_0.00317647.vnnlib,120
resnet_2b.onnx,prop_3_0.00317647.vnnlib,120
resnet_2b.onnx,prop_4_0.00317647.vnnlib,120
resnet_2b.onnx,prop_5_0.00317647.vnnlib,120
resnet_2b.onnx,prop_6_0.00317647.vnnlib,120
resnet_2b.onnx,prop_7_0.00317647.vnnlib,120
resnet_2b.onnx,prop_8_0.00317647.vnnlib,120
resnet_2b.onnx,prop_9_0.00317647.vnnlib,120
resnet_2b.onnx,prop_0_0.00396078.vnnlib,120
resnet_2b.onnx,prop_1_0.00396078.vnnlib,120
resnet_2b.onnx,prop_2_0.00396078.vnnlib,120
resnet_2b.onnx,prop_3_0.00396078.vnnlib,120
resnet_2b.onnx,prop_4_0.00396078.vnnlib,120
resnet_2b.onnx,prop_5_0.00396078.vnnlib,120
resnet_2b.onnx,prop_6_0.00396078.vnnlib,120
resnet_2b.onnx,prop_7_0.00396078.vnnlib,120
resnet_2b.onnx,prop_8_0.00396078.vnnlib,120
resnet_2b.onnx,prop_9_0.00396078.vnnlib,120
resnet_2b.onnx,prop_0_0.00474510.vnnlib,120
resnet_2b.onnx,prop_1_0.00474510.vnnlib,120
resnet_2b.onnx,prop_2_0.00474510.vnnlib,120
resnet_2b.onnx,prop_3_0.00474510.vnnlib,120
resnet_2b.onnx,prop_4_0.00474510.vnnlib,120
resnet_2b.onnx,prop_5_0.00474510.vnnlib,120
resnet_2b.onnx,prop_6_0.00474510.vnnlib,120
resnet_2b.onnx,prop_7_0.00474510.vnnlib,120
resnet_2b.onnx,prop_8_0.00474510.vnnlib,120
resnet_2b.onnx,prop_9_0.00474510.vnnlib,120
resnet_2b.onnx,prop_0_0.00552941.vnnlib,120
resnet_2b.onnx,prop_1_0.00552941.vnnlib,120
resnet_2b.onnx,prop_2_0.00552941.vnnlib,120
resnet_2b.onnx,prop_3_0.00552941.vnnlib,120
resnet_2b.onnx,prop_4_0.00552941.vnnlib,120
resnet_2b.onnx,prop_5_0.00552941.vnnlib,120
resnet_2b.onnx,prop_6_0.00552941.vnnlib,120
resnet_2b.onnx,prop_7_0.00552941.vnnlib,120
resnet_2b.onnx,prop_8_0.00552941.vnnlib,120
resnet_2b.onnx,prop_9_0.00552941.vnnlib,120
resnet_2b.onnx,prop_0_0.00631373.vnnlib,120
resnet_2b.onnx,prop_1_0.00631373.vnnlib,120
resnet_2b.onnx,prop_2_0.00631373.vnnlib,120
resnet_2b.onnx,prop_3_0.00631373.vnnlib,120
resnet_2b.onnx,prop_4_0.00631373.vnnlib,120
resnet_2b.onnx,prop_5_0.00631373.vnnlib,120
resnet_2b.onnx,prop_6_0.00631373.vnnlib,120
resnet_2b.onnx,prop_7_0.00631373.vnnlib,120
resnet_2b.onnx,prop_8_0.00631373.vnnlib,120
resnet_2b.onnx,prop_9_0.00631373.vnnlib,120
resnet_2b.onnx,prop_0_0.00709804.vnnlib,120
resnet_2b.onnx,prop_1_0.00709804.vnnlib,120
resnet_2b.onnx,prop_2_0.00709804.vnnlib,120
resnet_2b.onnx,prop_3_0.00709804.vnnlib,120
resnet_2b.onnx,prop_4_0.00709804.vnnlib,120
resnet_2b.onnx,prop_5_0.00709804.vnnlib,120
resnet_2b.onnx,prop_6_0.00709804.vnnlib,120
resnet_2b.onnx,prop_7_0.00709804.vnnlib,120
resnet_2b.onnx,prop_8_0.00709804.vnnlib,120
resnet_2b.onnx,prop_9_0.00709804.vnnlib,120
